Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,CareerProgressionRatio,YearsWithoutPromotion,AnnualSalary,SalaryHikeImpact,WorkLoadIndex,BusinessTravel_Encoded,Department_Encoded,Education_Encoded,EducationField_Encoded,EnvironmentSatisfaction_Encoded,Gender_Encoded,JobInvolvement_Encoded,JobRole_Encoded,JobSatisfaction_Encoded,MaritalStatus_Encoded,OverTime_Encoded,PerformanceRating_Encoded,RelationshipSatisfaction_Encoded,WorkLifeBalance_Encoded
32,0,Travel_Rarely,334,Research & Development,5,College,Life Sciences,Low,Male,80,Very High,1,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,Excellent,Very High,2,7,5,Good,6,2,0,5,2.25,0.14285714285714285,2,39576,39576,8,2,1,2,1,1,1,3,6,2,0,1,0,3,3
22,0,Non-Travel,1123,Research & Development,16,College,Medical,Very High,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,Excellent,Medium,2,1,2,Good,1,0,0,0,3.0,0.5,0,35220,38155,8,0,1,2,3,3,1,3,2,3,0,1,0,2,3
53,0,Travel_Rarely,1219,Sales,2,Master,Life Sciences,Low,Female,78,Medium,4,Manager,Very High,Married,15427,22021,2,No,16,Excellent,High,0,31,3,Better,25,8,3,7,2.75,0.15384615384615385,5,185124,246832,2,2,2,4,1,1,0,2,3,3,1,0,0,0,2
38,0,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,Very High,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5,Yes,11,Excellent,High,0,6,3,Better,3,2,1,2,3.5,0.5,1,47328,43384,6,2,1,0,1,3,1,0,6,3,2,1,0,0,2
24,0,Non-Travel,673,Research & Development,11,College,Other,Low,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,8232,0,No,18,Excellent,Very High,1,5,5,Good,4,2,1,3,2.5,0.4,1,48132,72198,4,0,1,2,4,1,0,3,4,0,0,0,0,3,3
36,1,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,No,23,Outstanding,Medium,0,10,4,Better,5,3,0,3,2.25,0.16666666666666666,3,40884,78361,2,2,2,4,1,0,1,2,8,1,2,0,1,2,2
34,0,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,Low,Female,53,High,3,Research Director,Medium,Single,11994,21293,0,No,11,Excellent,High,0,13,4,Better,12,6,2,11,2.25,0.23076923076923078,4,143928,131934,3,2,1,4,1,1,0,0,5,2,2,0,0,0,2
21,0,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1,No,14,Excellent,Very High,0,0,6,Better,0,0,0,0,3.5,1.0,0,14784,17248,3,2,1,2,1,0,1,0,6,3,2,0,0,3,2
34,1,Travel_Rarely,699,Research & Development,6,Below College,Medical,Medium,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2,No,11,Excellent,High,0,8,2,Better,4,2,1,3,2.25,0.4,1,35520,32560,3,2,1,1,3,2,1,0,6,1,2,0,0,0,2
53,0,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,High,Female,58,High,5,Manager,High,Divorced,19094,10735,4,No,11,Excellent,Very High,1,26,3,Good,14,13,4,8,3.0,0.3333333333333333,9,229128,210034,3,2,1,0,4,0,0,0,3,0,0,0,0,3,3
32,1,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Yes,22,Outstanding,Medium,0,10,5,Better,10,2,6,7,2.0,0.6363636363636364,-4,47028,86218,2,1,1,1,1,2,0,1,6,1,2,1,1,2,2
42,0,Travel_Rarely,691,Sales,8,Master,Marketing,High,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,No,11,Excellent,Very High,1,10,2,Better,9,7,4,2,3.0,0.5,3,81900,75075,3,2,2,4,2,0,1,0,7,2,1,0,0,3,2
44,0,Travel_Rarely,477,Research & Development,7,Master,Medical,Low,Female,42,Medium,3,Healthcare Representative,Very High,Married,10248,2094,3,No,14,Excellent,Very High,1,24,4,Better,22,6,5,17,3.0,0.2608695652173913,1,122976,143472,2,2,1,4,3,1,0,2,0,3,1,0,0,3,2
46,0,Travel_Rarely,705,Sales,2,Master,Marketing,Medium,Female,83,High,5,Manager,Low,Single,18947,22822,3,No,12,Excellent,Very High,0,22,2,Good,2,2,2,1,2.25,1.0,0,227364,227364,3,2,2,4,2,2,0,0,3,1,2,0,0,3,3
33,0,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,High,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,No,11,Excellent,Very High,0,7,3,Better,1,1,0,0,3.5,0.5,1,29952,27456,3,2,1,0,3,0,1,0,2,3,2,0,0,3,2
44,0,Travel_Rarely,1459,Research & Development,10,Master,Other,Very High,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,Excellent,Very High,0,9,5,Best,4,2,1,3,4.0,0.4,1,77580,84045,6,2,1,4,4,3,1,0,0,3,1,1,0,3,1
30,0,Travel_Rarely,125,Research & Development,9,College,Medical,Very High,Male,83,Medium,1,Laboratory Technician,High,Single,2206,16117,1,No,13,Excellent,Low,0,10,5,Better,10,0,1,8,2.75,0.18181818181818182,-1,26472,28678,2,2,1,2,3,3,1,2,2,0,2,0,0,1,2
39,1,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,Very High,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3,No,14,Excellent,High,1,19,6,Best,1,0,0,0,3.75,0.5,0,25032,29204,3,2,2,0,5,3,1,0,8,3,1,0,0,0,1
24,1,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Yes,16,Excellent,Low,1,6,2,Good,2,0,2,0,2.25,1.0,-2,27516,36688,6,2,1,0,3,2,1,0,6,3,1,1,0,1,3
43,0,Travel_Rarely,1273,Research & Development,2,College,Medical,Very High,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1,No,12,Excellent,Very High,2,6,3,Good,5,3,1,4,3.25,0.3333333333333333,2,31740,31740,4,2,1,2,3,3,0,3,6,0,0,0,0,3,3
50,1,Travel_Rarely,869,Sales,3,College,Marketing,Low,Male,86,Medium,1,Sales Representative,High,Married,2683,3810,1,Yes,14,Excellent,High,0,3,2,Better,3,2,0,2,2.5,0.25,2,32196,37562,4,2,2,2,2,1,1,2,8,0,1,1,0,0,2
35,0,Travel_Rarely,890,Sales,2,Bachelor,Marketing,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,No,13,Excellent,Low,0,2,3,Better,2,2,2,2,3.0,1.0,0,24168,26182,3,2,2,0,2,3,0,0,8,3,1,0,0,1,2
36,0,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,Medium,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Yes,14,Excellent,Very High,1,6,3,Best,1,1,0,0,2.75,0.5,1,41028,47866,4,2,1,4,1,2,0,2,6,1,1,1,0,3,1
33,0,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,Low,2,10,3,Better,5,3,1,3,2.0,0.3333333333333333,2,64512,102144,4,1,2,0,1,0,0,3,7,1,1,0,0,1,2
35,0,Travel_Rarely,464,Research & Development,4,College,Other,High,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,Excellent,High,1,1,3,Better,1,0,0,0,3.25,0.5,0,23412,23412,3,2,1,2,4,0,1,0,2,3,0,0,0,0,2
27,0,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Excellent,Very High,1,1,6,Better,1,0,0,0,3.0,0.5,0,28092,30433,3,2,1,4,1,3,0,0,2,1,0,0,0,3,2
26,1,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,Low,Male,48,Low,1,Laboratory Technician,High,Single,2293,10558,1,No,12,Excellent,High,0,1,2,Good,1,0,0,1,2.25,0.5,0,27516,27516,1,2,1,0,1,1,1,1,2,0,2,0,0,0,3
27,0,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,3,Sales Executive,High,Single,8726,2975,1,No,15,Excellent,Very High,0,9,0,Better,9,8,1,7,3.5,0.2,7,104712,130890,3,1,2,0,1,3,1,0,7,0,2,0,0,3,2
30,0,Travel_Frequently,721,Research & Development,1,College,Medical,High,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Outstanding,Very High,0,12,2,Better,12,8,3,7,3.5,0.3076923076923077,5,48132,92253,3,1,1,2,3,0,0,0,2,3,2,0,1,3,2
41,1,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,Medium,Female,49,High,5,Research Director,High,Married,19545,16280,1,No,12,Excellent,Very High,0,23,0,Better,22,15,15,8,3.0,0.6956521739130435,0,234540,234540,3,2,1,0,5,2,0,0,5,0,1,0,0,3,2
34,0,Non-Travel,1065,Sales,23,Master,Marketing,Medium,Male,72,High,2,Sales Executive,High,Single,4568,10034,0,No,20,Outstanding,High,0,10,2,Better,9,5,8,7,2.75,0.9,-3,54816,91360,3,0,2,4,2,2,1,0,7,0,2,0,1,0,2
37,0,Travel_Rarely,408,Research & Development,19,College,Life Sciences,Medium,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4,No,21,Outstanding,Low,0,8,1,Better,1,0,0,0,2.0,0.5,0,36264,63462,3,2,1,2,1,2,1,0,6,2,1,0,1,1,2
46,0,Travel_Frequently,1211,Sales,5,Master,Marketing,Low,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Outstanding,High,0,14,4,Better,9,6,0,8,2.75,0.1,6,69264,121212,6,1,2,4,2,1,1,0,7,3,2,1,1,0,2
35,0,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,No,19,Excellent,Very High,0,1,2,Better,1,0,0,1,3.75,0.5,0,27228,43111,4,2,1,1,1,3,1,3,2,3,1,0,0,3,2
48,1,Travel_Rarely,626,Research & Development,1,College,Life Sciences,Low,Male,98,Medium,3,Laboratory Technician,High,Single,5381,19294,9,Yes,13,Excellent,Very High,0,23,2,Better,1,0,0,0,2.75,0.5,0,64572,69953,4,2,1,2,1,1,1,2,2,0,2,1,0,3,2
28,1,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,High,Male,50,High,1,Laboratory Technician,High,Single,3441,11179,1,Yes,13,Excellent,High,0,2,3,Good,2,2,2,2,2.75,1.0,0,41292,44733,6,2,1,4,5,0,1,0,2,0,2,1,0,0,3
44,0,Travel_Rarely,1488,Sales,1,Doctor,Marketing,Medium,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Outstanding,High,1,9,2,Good,4,3,1,3,2.0,0.4,2,65448,114534,6,2,2,3,2,2,0,0,7,1,0,1,1,0,3
35,0,Non-Travel,1097,Research & Development,11,College,Medical,High,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Excellent,High,1,10,3,Better,4,0,2,3,2.5,0.6,-2,118608,128492,4,0,1,2,3,0,1,2,0,1,1,1,0,0,2
26,0,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,High,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Excellent,High,1,5,2,Good,2,2,0,0,3.0,0.3333333333333333,2,49884,78983,4,2,2,0,2,0,0,2,7,3,1,1,0,0,3
33,0,Travel_Frequently,515,Research & Development,1,College,Life Sciences,Low,Female,98,High,3,Research Director,Very High,Single,13458,15146,1,Yes,12,Excellent,High,0,15,1,Better,15,14,8,12,2.75,0.5625,6,161496,161496,6,1,1,2,1,1,0,0,5,3,2,1,0,0,2
35,0,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,Medium,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,No,22,Outstanding,Very High,1,9,3,Good,9,8,1,8,2.25,0.2,7,108828,199518,3,1,2,3,1,2,1,0,7,1,1,0,1,3,3
35,0,Travel_Rarely,1142,Research & Development,23,Master,Medical,High,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Excellent,High,1,4,3,Better,2,2,2,2,2.5,1.0,0,48168,60210,6,2,1,4,3,0,0,0,2,1,1,1,0,0,2
31,0,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,Very High,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Outstanding,Very High,1,10,3,Good,7,7,1,7,3.5,0.25,6,70980,130130,3,2,1,4,1,3,1,0,2,3,0,0,1,3,3
37,0,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Low,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1,No,18,Excellent,High,1,7,2,Best,7,5,0,7,2.75,0.125,5,71916,107874,2,2,1,4,1,1,1,2,4,0,0,0,0,0,1
32,0,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,Low,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Outstanding,Medium,1,9,3,Better,9,8,7,8,2.5,0.8,1,73944,135564,6,2,1,0,3,1,1,0,4,3,1,1,1,2,2
38,0,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,Very High,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1,No,11,Excellent,Very High,0,10,2,Better,10,3,9,9,3.75,0.9090909090909091,-6,28872,26466,3,1,1,3,1,3,0,0,2,3,2,0,0,3,2
50,0,Travel_Rarely,989,Research & Development,7,College,Medical,Medium,Female,43,Medium,5,Research Director,High,Divorced,18740,16701,5,Yes,12,Excellent,Very High,1,29,2,Good,27,3,13,8,2.75,0.5,-10,224880,224880,4,2,1,2,3,2,0,2,5,0,0,1,0,3,3
59,0,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,Low,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7,No,11,Excellent,Very High,0,28,3,Good,21,16,7,9,2.0,0.36363636363636365,9,91644,84007,3,2,2,0,1,1,0,0,7,1,2,0,0,3,3
36,0,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,High,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Excellent,Medium,3,17,2,Better,17,14,12,8,2.75,0.7222222222222222,2,121152,131248,3,2,1,0,5,0,0,0,0,0,0,0,0,2,2
55,0,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Very High,Female,33,High,4,Manager,High,Divorced,14756,19730,2,Yes,14,Excellent,High,3,21,2,Better,5,0,0,2,3.25,0.16666666666666666,0,177072,206584,6,2,1,0,3,3,0,0,3,0,0,1,0,0,2
36,0,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,Medium,Male,95,Medium,2,Manufacturing Director,Medium,Single,6499,22656,1,No,13,Excellent,High,0,6,3,Better,6,5,0,3,2.5,0.14285714285714285,5,77988,84487,2,1,1,0,1,2,1,2,4,2,2,0,0,0,2
45,0,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,Medium,Male,59,High,3,Research Scientist,Low,Divorced,9724,18787,2,No,17,Excellent,High,1,25,2,Better,1,0,0,0,2.25,0.5,0,116688,165308,3,2,1,0,1,2,1,0,6,1,0,0,0,0,2
35,0,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,Medium,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4,No,13,Excellent,Very High,1,5,2,Good,3,2,1,2,2.25,0.5,1,26328,28522,3,1,1,0,3,2,1,0,6,1,1,0,0,3,3
36,1,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,79,Medium,1,Research Scientist,High,Married,3388,21777,0,Yes,17,Excellent,Low,1,2,0,Good,1,0,0,0,2.5,0.5,0,40656,57596,4,2,1,0,3,3,1,2,6,0,1,1,0,1,3
59,0,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,Low,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,No,11,Excellent,Very High,0,20,2,Good,4,3,1,3,2.5,0.4,2,65676,60203,2,1,2,1,1,1,0,2,7,0,2,0,0,3,3
29,0,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,High,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0,No,23,Outstanding,Very High,1,6,3,Better,5,4,0,4,3.0,0.16666666666666666,4,32436,62169,3,2,1,0,1,0,1,0,6,2,1,0,1,3,2
31,0,Travel_Rarely,1082,Research & Development,1,Master,Medical,High,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1,No,17,Excellent,Medium,0,1,4,Better,1,1,1,0,2.5,1.0,0,30012,42517,3,2,1,4,3,0,1,0,6,2,2,0,0,2,2
32,0,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,Medium,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1,No,17,Excellent,Medium,2,10,3,Better,10,4,0,9,2.25,0.09090909090909091,4,74640,105740,3,2,1,0,1,2,1,0,6,2,1,0,0,2,2
36,0,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,Medium,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,No,12,Excellent,Medium,0,5,3,Better,1,0,0,0,2.75,0.5,0,36456,36456,4,2,1,0,1,2,0,3,2,3,1,0,0,2,2
31,0,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,High,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Outstanding,Very High,0,11,2,Better,11,7,1,8,3.5,0.16666666666666666,6,53088,101752,3,2,1,4,1,0,0,0,4,3,2,0,1,3,2
35,0,Travel_Rarely,776,Sales,1,Master,Marketing,High,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,No,14,Excellent,Medium,0,16,2,Better,15,13,2,8,2.25,0.1875,11,51744,60368,2,2,2,4,2,0,1,2,7,1,2,0,0,2,2
45,0,Travel_Rarely,193,Research & Development,6,Master,Other,Very High,Male,52,High,3,Research Director,Low,Married,13245,15067,4,Yes,14,Excellent,Medium,0,17,3,Best,0,0,0,0,2.75,1.0,0,158940,185430,6,2,1,4,4,3,1,0,5,1,1,1,0,2,1
37,0,Travel_Rarely,397,Research & Development,7,Master,Medical,Low,Male,30,High,3,Research Director,High,Single,13664,25258,4,No,13,Excellent,Low,0,16,3,Best,5,2,0,2,2.25,0.16666666666666666,2,163968,177632,3,2,1,4,3,1,1,0,5,0,2,0,0,1,1
46,0,Travel_Rarely,945,Human Resources,5,College,Medical,Medium,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Outstanding,Very High,1,16,2,Better,4,2,0,2,2.75,0.2,2,60252,110462,6,2,0,2,3,2,1,0,1,2,0,1,1,3,2
30,0,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Excellent,High,2,10,1,Good,10,8,3,0,3.25,0.36363636363636365,5,61512,61512,4,2,1,1,1,3,1,2,2,3,1,1,0,0,3
35,0,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,Medium,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1,No,18,Excellent,Low,0,6,3,Better,6,4,0,4,2.25,0.14285714285714285,4,34308,51462,2,2,1,0,3,2,1,2,6,0,2,0,0,1,2
55,0,Travel_Rarely,111,Sales,1,College,Life Sciences,Low,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3,No,14,Excellent,Very High,1,24,4,Better,1,0,1,0,3.0,1.0,-1,122868,143346,3,2,2,2,1,1,1,0,7,3,1,0,0,3,2
38,0,Non-Travel,573,Research & Development,6,Bachelor,Medical,Medium,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,Excellent,Very High,3,17,3,Better,13,11,1,9,3.25,0.14285714285714285,10,63948,63948,2,0,1,0,3,2,0,1,6,3,0,1,0,3,2
34,0,Travel_Rarely,1153,Research & Development,1,College,Medical,Low,Male,94,High,2,Manufacturing Director,Medium,Married,4325,17736,1,No,15,Excellent,High,0,5,2,Better,5,2,1,3,2.25,0.3333333333333333,1,51900,64875,3,2,1,2,3,1,1,0,4,2,1,0,0,0,2
56,0,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,Very High,Male,49,Low,3,Manufacturing Director,Very High,Single,7260,21698,4,No,11,Excellent,Low,0,37,3,Good,6,4,0,2,2.75,0.14285714285714285,4,87120,79860,1,2,1,0,1,3,1,1,4,3,2,0,0,1,3
23,0,Travel_Rarely,541,Sales,2,Below College,Technical Degree,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,No,13,Excellent,High,1,3,3,Better,0,0,0,0,2.5,1.0,0,27864,30186,3,2,2,1,5,0,1,0,8,1,0,0,0,0,2
51,0,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,Very High,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Outstanding,Medium,2,10,4,Better,4,2,0,3,3.25,0.2,2,24900,47725,3,2,1,4,1,3,1,0,2,3,1,0,1,2,2
30,0,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,High,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Excellent,Low,3,11,3,Better,11,10,10,8,2.75,0.9166666666666666,0,49824,78888,2,2,1,0,1,0,1,2,0,3,1,0,0,1,2
